po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost
23704,7321096783,12/22/2021,60,0,Distributor,New Business,,Closed and Won,,,,1,Not Rated,12.0269542v2,12,0,4,1,,1/5/2022,,,,5,,,0,0,2.1,0
23705,7421077347,1/5/2022,500,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0255490v2,10,0,2,1,,1/5/2022,,,,42,,,0,0,1.96,0
23706,7421809505,1/5/2022,61,0,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0270470v1,10,0,2,1,,1/6/2022,,,,6,,,0,0,2.56,0
23707,7405639516,1/3/2022,240,0,Distributor,Existing Business,,Closed and Won,,,,2,,10.0220458v1,10,0,2,3,,1/6/2022,,,,20,,,0,0,2.41,0
23708,7426009705,1/5/2022,180,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0243490v1,10,0,2,4,,1/10/2022,,,,15,,,0,0,2.58,0
23709,7423054636,1/5/2022,80,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,10.0270463v1,10,0,2,4,,1/6/2022,,,,7,,,0,0,2.58,0
23711,7346900045,12/27/2021,250,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.0269873v3,10,0,2,3,,1/6/2022,,,,21,,,0,0,2.41,0
23712,7365808958,12/29/2021,76,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,10.0255228v1,10,0,2,3,,1/6/2022,,,,7,,,0,0,3.66,0
23713,7426426742,1/5/2022,62,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.0265893v1,10,0,2,4,,1/6/2022,,,,6,,,0,0,2.58,0
23714,7310425103,12/21/2021,500,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,10.0269415v1,10,0,2,3,,1/6/2022,,,,42,,,0,0,2.41,0
23715,7426794879,1/5/2022,360,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,2,,17.0239478v2,17,0,9,3,,1/6/2022,,,,30,,,0,0,2.41,0
23716,7426075729,1/5/2022,300,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,,10.0266586v1,10,0,2,1,,1/6/2022,,,,25,,,0,0,1.96,0
23717,7421043038,1/5/2022,60,0,Direct,New Business,,Closed and Won,Knitted Mockup Tool,,Organic Search,2,Knitted Mockup Tool,10.0270368v1,10,0,2,4,,1/10/2022,,,,5,,,0,0,2.58,0
