po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost
41154,15756556092,10/23/2023,0.0,2131.2,Distributor,New Business,,Closed and Won,,,SAGE,2,Low ,932196309v2,93.0,360.0,120.0,10.0,45267.0,2023-11-09,Distributor,newbusiness,15756556092.0,30.0,1.8,0.0,595.4399999999999,556.8,,556.8
41155,15974474287,11/8/2023,300.0,2610.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.02148690v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,26.0,,,0.0,0.0,2.54,853.44
41156,15975775134,11/8/2023,400.0,2837.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,10.02189061v1,10.0,0.0,2.0,4.0,,2023-11-08,,,,34.0,,,0.0,0.0,2.54,1066.8
41157,15657455951,10/16/2023,1004.0,7028.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Low ,10.02201485v5,10.0,0.0,2.0,3.0,,2023-11-20,,,,84.0,,,0.0,0.0,2.01,2050.2
41158,15941817777,11/6/2023,128.0,1614.78,Direct,Existing Business,,Closed and Won,,,Organic Search,1,Low ,10.02199638v2,10.0,0.0,2.0,1.0,,2023-11-08,,,,11.0,,,0.0,0.0,2.23,321.12
41159,15865923939,10/31/2023,60.0,929.76,Direct,New Business,,Closed and Won,Intake 4.0 Logged In,,Organic Search,1,,10.02198257v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,5.0,,,0.0,0.0,2.85,205.2
41160,15971599251,11/8/2023,30.0,445.29,Distributor,New Business,,Closed and Won,,,Organic Search,1,Low ,55.02199961v2,55.0,0.0,114.0,4.0,,2023-11-08,,,,3.0,,,0.0,0.0,3.42,164.16
41161,15756624403,10/23/2023,120.0,1400.4,Direct,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,,10.02196065v1,10.0,0.0,2.0,1.0,,2023-11-08,,,,10.0,,,0.0,0.0,2.23,294.36
41162,15846088100,10/30/2023,30.0,647.7,Direct,New Business,,Closed and Won,Intake 4.0 Logged In,,Paid Search,1,Low ,10.02198247v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,3.0,,,0.0,0.0,3.18,152.64
41163,15973866555,11/8/2023,100.0,1188.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,46.02200075v1,46.0,0.0,113.0,3.0,,2023-11-09,,,,9.0,,,0.0,0.0,2.85,342.0
41164,15977138842,11/8/2023,60.0,480.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,2,,10.02189805v1,10.0,0.0,2.0,4.0,,2023-11-09,,,,5.0,,,0.0,0.0,2.83,203.76
41165,15759518315,10/23/2023,500.0,3530.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,High Res Preview,46.02196611v2,46.0,0.0,113.0,1.0,,2023-11-10,,,,42.0,,,0.0,0.0,1.79,923.64
41166,15759194738,10/23/2023,120.0,1184.4,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Pre-Hubspot Contact,2,Low ,15.02196634v1,15.0,0.0,7.0,3.0,,2023-11-08,,,,10.0,,,0.0,0.0,3.84,506.88
41167,15977252974,11/8/2023,1000.0,6850.0,Distributor,Existing Business,,Closed and Won,,,SAGE,3,,10.02183334v1,10.0,0.0,2.0,1.0,,2023-11-08,,,,84.0,,,0.0,0.0,1.79,1825.8
41168,15913155132,11/3/2023,360.0,4125.11,Direct,Existing Business,,Closed and Won,,,Organic Search,1,Medium ,10.02199978v1,10.0,0.0,2.0,1.0,,2023-11-09,,,,30.0,,,0.0,0.0,1.96,729.12
41169,15850232463,10/30/2023,60.0,688.2,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Medium ,10.02199067v4,10.0,0.0,2.0,3.0,,2023-11-08,,,,5.0,,,0.0,0.0,2.85,205.2
41170,15977583524,11/8/2023,240.0,1615.2,Distributor,Existing Business,,Payment Pending,Reorder Button,,Event in the Past Year,2,,48.02197761v2,48.0,0.0,115.0,3.0,,2023-11-08,,,,20.0,,,0.0,0.0,2.43,612.36
41171,15978201220,11/8/2023,60.0,616.2,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,2,,10.02150303v1,10.0,0.0,2.0,3.0,,2023-11-09,,,,5.0,,,0.0,0.0,2.85,205.2
41172,15910028294,11/3/2023,480.0,7039.2,Direct,Existing Business,,Closed and Won,,,Email Marketing,1,,10.0274578v3,10.0,0.0,2.0,1.0,,2023-11-10,,,,40.0,,,0.0,0.0,1.96,987.84
41175,15978877224,11/8/2023,120.0,996.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,2,,10.02102887v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,10.0,,,0.0,0.0,2.72,359.04
41176,15976920684,11/8/2023,140.0,1344.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,1,Low ,55.02200169v1,55.0,0.0,114.0,1.0,,2023-11-09,,,,12.0,,,0.0,0.0,1.88,293.28
41177,15689317545,10/18/2023,335.0,5639.6,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,Low ,15.02195212v1,15.0,0.0,7.0,3.0,,2023-11-15,,,,30.0,,,0.0,0.0,3.84,1520.6399999999999
