po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin
31545,11069586433,11/23/2022,100.0,1126.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,1,,10.02129197v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,9.0,,,0.0,0.0,3.58,429.6,0.6184724689165186
31546,11132113739,11/28/2022,240.0,1884.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Email Marketing,2,,10.0217282v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,20.0,,,0.0,0.0,2.41,607.32,0.6776433121019108
31547,11132279668,11/28/2022,240.0,1884.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Email Marketing,2,,10.0247123v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,20.0,,,0.0,0.0,2.41,607.32,0.6776433121019108
31548,11132516920,11/28/2022,240.0,1884.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Email Marketing,2,,10.0274432v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,20.0,,,0.0,0.0,2.41,607.32,0.6776433121019108
31549,11130565141,11/28/2022,215.0,2081.91,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,10.02129254v3,10.0,0.0,2.0,1.0,,2022-11-30,,,,18.0,,,0.0,0.0,1.96,446.88,0.7853509517702494
31550,11131089781,11/28/2022,240.0,2035.2,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,2,,10.0243865v1,10.0,0.0,2.0,3.0,,2022-11-29,,,,20.0,,,0.0,0.0,2.58,681.12,0.6653301886792452
31551,11131003917,11/28/2022,75.0,1180.75,Direct,Existing Business,,Closed and Won,,,Direct Traffic,2,High Res Preview,10.02129288v1,10.0,0.0,2.0,4.0,,2022-11-28,,,,7.0,,,0.0,0.0,2.58,247.68,0.7902350201143341
31552,11128866170,11/28/2022,240.0,2450.4,Direct,Existing Business,,Closed and Won,Intake 3.0,,Direct Traffic,1,High Res Preview,10.02129209v2,10.0,0.0,2.0,1.0,,2022-11-29,,,,20.0,,,0.0,0.0,1.96,493.92,0.7984329089128306
31553,11031374186,11/21/2022,96.0,1104.96,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.02128644v1,10.0,0.0,2.0,1.0,,2022-11-29,,,,8.0,,,0.0,0.0,2.56,276.48,0.7497827975673328
31554,11132984107,11/28/2022,120.0,1749.41,Direct,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,15.02112837v2,15.0,0.0,7.0,3.0,,2022-11-28,,,,10.0,,,0.0,0.0,3.7,488.4,0.720820162226122
31555,10793619986,11/3/2022,120.0,693.6,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,High Res Preview,10.02126613v2,10.0,0.0,2.0,1.0,,2022-11-29,,,,10.0,,,0.0,0.0,2.23,294.36,0.5756055363321799
31556,11111670896,11/27/2022,120.0,1997.62,Direct,New Business,,Production,Intake 3.0,,Direct Traffic,1,Low ,10.02129273v1,10.0,0.0,2.0,4.0,,2022-11-30,,,,10.0,,,0.0,0.0,2.58,371.52,0.8140186822318559
31557,11046750878,11/22/2022,60.0,836.4,Direct,New Business,,Closed and Won,Intake 3.0,,Pre-Hubspot Contact,2,Not Rated,10.02128736v4,10.0,0.0,2.0,4.0,,2022-11-28,,,,5.0,,,0.0,0.0,2.58,185.76,0.7779053084648494
31558,10901695617,11/11/2022,564.0,3964.92,Distributor,Existing Business,,Closed and Won,,,SAGE,2,Low ,10.02126476v1,10.0,0.0,2.0,1.0,,2022-11-29,,,,47.0,,,0.0,0.0,1.88,1082.88,0.7268847795163584
31559,10997380009,11/18/2022,120.0,1083.6,Distributor,Existing Business,,Payment Pending,,,Client Referral,1,Low ,44.02129289v1,44.0,0.0,21.0,1.0,,2022-11-29,,,,10.0,,,0.0,0.0,2.23,294.36,0.7283499446290144
31561,11056414521,11/22/2022,120.0,1981.36,Direct,New Business,,Closed and Won,Revision Request,,Direct Traffic,1,,10.0259148v1,10.0,0.0,2.0,3.0,,2022-11-30,,,,10.0,,,0.0,0.0,3.66,527.04,0.734000888278758
