po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,dont_use_total_intl_unit_cost,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin,month,year
37588,13956525728,7/3/2023,480.0,3268.8,Distributor,Existing Business,,Closed and Won,,,SAGE,2,,44.02108038v1,44.0,0.0,21.0,3.0,,2023-07-05,,,,40.0,,,0.0,0.0,2.62,1289.04,0.6056534508076359,7,2023
37589,13915601461,6/29/2023,0.0,1293.6,Direct,New Business,,Closed and Won,,,Paid Search,1,,932173540v1,93.0,120.0,120.0,10.0,45140.0,2023-07-10,Direct,newbusiness,13915601461.0,10.0,1.8,0.0,237.6,216.0,,216.0,0.8330241187384044,7,2023
37590,13647264407,6/9/2023,500.0,3778.88,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,2,Low ,10.02170254v2,10.0,0.0,2.0,4.0,,2023-07-03,,,,42.0,,,0.0,0.0,2.54,1310.64,0.6531670759590142,7,2023
37591,13927108359,6/30/2023,500.0,3690.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,3,Low ,55.02173709v2,55.0,0.0,114.0,1.0,,2023-07-05,,,,42.0,,,0.0,0.0,1.96,1011.36,0.7259186991869918,7,2023
37592,13885226883,6/27/2023,300.0,2418.0,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,2,High ,10.02173675v1,10.0,0.0,2.0,1.0,,2023-07-03,,,,25.0,,,0.0,0.0,1.96,611.52,0.7470967741935484,7,2023
37593,13957835360,7/3/2023,1200.0,7464.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,44.0255598v1,44.0,0.0,21.0,1.0,,2023-07-03,,,,100.0,,,0.0,0.0,1.71,2072.52,0.7223311897106108,7,2023
37594,13924778046,6/30/2023,60.0,688.2,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,High Res Preview,10.02173589v2,10.0,0.0,2.0,1.0,,2023-07-05,,,,5.0,,,0.0,0.0,2.56,184.32,0.7321708805579774,7,2023
37595,13959391342,7/3/2023,500.0,4205.0,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,,10.02155197v4,10.0,0.0,2.0,4.0,,2023-07-05,,,,44.0,,,0.0,0.0,2.71,1560.96,0.6287847800237812,7,2023
37596,13956425640,7/3/2023,250.0,2015.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02173871v2,10.0,0.0,2.0,1.0,,2023-07-03,,,,21.0,,,0.0,0.0,1.96,517.44,0.7432059553349876,7,2023
37597,13959801641,7/3/2023,30.0,701.6,Direct,Existing Business,,Closed and Won,Portal Order,,Direct Traffic,1,,18.02156210v1,18.0,0.0,10.0,1.0,,2023-07-03,,,,3.0,,,0.0,0.0,2.56,122.88,0.8248574686431015,7,2023
37598,13930955896,6/30/2023,480.0,6052.41,Direct,New Business,,Payment Pending,,,Paid Search,1,Low ,55.02173940v2,55.0,0.0,114.0,1.0,,2023-07-05,,,,40.0,,,0.0,0.0,1.96,987.84,0.8367856771104403,7,2023
37599,13965753783,7/4/2023,350.0,4589.71,Direct,Existing Business,,Closed and Won,Portal Order,,Email Marketing,1,,10.02149507v1,10.0,0.0,2.0,3.0,,2023-07-05,,,,30.0,,,0.0,0.0,2.54,975.36,0.7874898414061019,7,2023
37600,13947737403,7/2/2023,200.0,1800.0,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Pre-Hubspot Contact,2,Low ,10.02173879v1,10.0,0.0,2.0,1.0,,2023-07-05,,,,17.0,,,0.0,0.0,1.96,423.36,0.7647999999999999,7,2023
